2021-06-05 22:29:26,572 INFO [main] o.h.Version [Version.java:44] HHH000412: Hibernate ORM core version 5.5.0.Final
2021-06-05 22:29:27,565 INFO [main] o.h.a.c.Version [JavaReflectionManager.java:56] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-06-05 22:29:28,222 WARN [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:72] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-06-05 22:29:28,255 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:115] HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/programingDB]
2021-06-05 22:29:28,255 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:124] HHH10001001: Connection properties: {password=****, user=lucy}
2021-06-05 22:29:28,255 INFO [main] o.h.o.c.pooling [DriverManagerConnectionProviderImpl.java:129] HHH10001003: Autocommit mode: false
2021-06-05 22:29:28,270 INFO [main] o.h.e.j.c.i.DriverManagerConnectionProviderImpl [DriverManagerConnectionProviderImpl.java:274] HHH000115: Hibernate connection pool size: 20 (min=1)
2021-06-05 22:29:28,836 INFO [main] o.h.d.Dialect [Dialect.java:175] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
2021-06-05 22:29:30,336 INFO [main] o.h.o.c.access [DdlTransactionIsolatorNonJtaImpl.java:48] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@67cffead] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2021-06-05 22:29:30,429 INFO [main] o.h.o.c.access [DdlTransactionIsolatorNonJtaImpl.java:48] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6cbe68e9] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2021-06-05 22:29:30,617 INFO [main] o.h.t.s.i.SchemaCreatorImpl [AbstractScriptSourceInput.java:33] HHH000476: Executing import script 'file:/D:/NIX-4%20(copy%20for%20develop)/unit_13_jpa_hibernate/university-data-access/target/classes/import.sql'
2021-06-05 22:29:30,695 INFO [main] o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:52] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-06-05 22:29:30,853 INFO [main] c.a.h.Run [Run.java:23] Creating database and start linking teachers and groups
